iter	Passed	Remaining
864	2851	444
865	2854	441
866	2856	438
867	2859	434
868	2862	431
869	2865	428
870	2868	424
871	2870	421
872	2873	418
873	2876	414
874	2879	411
875	2883	408
876	2886	404
877	2889	401
878	2893	398
879	2896	394
880	2899	391
881	2902	388
882	2905	384
883	2908	381
884	2912	378
885	2915	375
886	2918	371
887	2920	368
888	2923	365
889	2926	361
890	2929	358
891	2932	355
892	2935	351
893	2938	348
894	2941	345
895	2944	341
896	2948	338
897	2952	335
898	2956	332
899	2959	328
900	2964	325
901	2967	322
902	2971	319
903	2975	316
904	2979	312
905	2983	309
906	2988	306
907	2992	303
908	2996	299
909	3000	296
910	3004	293
911	3008	290
912	3012	287
913	3016	283
914	3019	280
915	3023	277
916	3027	274
917	3031	270
918	3035	267
919	3039	264
920	3043	261
921	3047	257
922	3050	254
923	3054	251
924	3057	247
925	3060	244
926	3063	241
927	3066	237
928	3069	234
929	3072	231
930	3075	227
931	3078	224
932	3081	221
933	3084	217
934	3087	214
935	3090	211
936	3092	207
937	3095	204
938	3098	201
939	3101	197
940	3104	194
941	3107	191
942	3110	188
943	3113	184
944	3116	181
945	3119	178
946	3121	174
947	3124	171
948	3127	168
949	3130	164
950	3133	161
951	3136	158
952	3139	154
953	3141	151
954	3144	148
955	3147	144
956	3150	141
957	3153	138
958	3156	134
959	3159	131
960	3162	128
961	3165	125
962	3168	121
963	3171	118
964	3174	115
965	3177	111
966	3181	108
967	3184	105
968	3186	101
969	3190	98
970	3193	95
971	3196	92
972	3198	88
973	3201	85
974	3204	82
975	3207	78
976	3209	75
977	3212	72
978	3215	68
979	3218	65
980	3221	62
981	3224	59
982	3227	55
983	3230	52
984	3233	49
985	3236	45
986	3239	42
987	3242	39
988	3246	36
989	3250	32
990	3254	29
991	3258	26
992	3262	22
993	3266	19
994	3269	16
995	3273	13
996	3276	9
997	3280	6
998	3284	3
999	3288	0
