iter	Passed	Remaining
555	2203	1759
556	2208	1756
557	2212	1752
558	2216	1748
559	2220	1744
560	2224	1740
561	2227	1736
562	2231	1732
563	2235	1728
564	2239	1723
565	2243	1720
566	2246	1715
567	2250	1711
568	2254	1707
569	2258	1703
570	2263	1700
571	2267	1696
572	2272	1693
573	2275	1689
574	2279	1684
575	2283	1680
576	2287	1677
577	2291	1673
578	2295	1668
579	2298	1664
580	2302	1660
581	2307	1656
582	2310	1652
583	2314	1648
584	2318	1644
585	2322	1640
586	2326	1636
587	2330	1632
588	2334	1628
589	2338	1624
590	2341	1620
591	2345	1616
592	2349	1612
593	2353	1608
594	2357	1604
595	2361	1600
596	2365	1597
597	2370	1593
598	2374	1589
599	2378	1585
600	2383	1582
601	2387	1578
602	2391	1574
603	2395	1570
604	2399	1566
605	2403	1562
606	2407	1558
607	2411	1554
608	2415	1550
609	2419	1546
610	2423	1542
611	2427	1538
612	2430	1534
613	2434	1530
614	2438	1526
615	2441	1522
616	2445	1518
617	2449	1514
618	2453	1510
619	2457	1506
620	2460	1501
621	2465	1498
622	2468	1494
623	2472	1489
624	2476	1485
625	2480	1481
626	2484	1477
627	2488	1473
628	2492	1469
629	2495	1465
630	2499	1461
631	2503	1457
632	2506	1453
633	2510	1449
634	2514	1445
635	2518	1441
636	2521	1437
637	2525	1433
638	2529	1429
639	2533	1425
640	2536	1420
641	2540	1416
642	2544	1412
643	2548	1408
644	2551	1404
645	2555	1400
646	2559	1396
647	2564	1392
648	2568	1389
649	2572	1385
650	2577	1381
651	2582	1378
652	2586	1374
653	2589	1370
654	2594	1366
655	2598	1362
656	2601	1358
657	2605	1354
658	2609	1350
659	2613	1346
660	2617	1342
661	2621	1338
662	2624	1334
663	2628	1330
664	2632	1326
665	2636	1322
666	2639	1318
667	2643	1313
668	2647	1309
669	2651	1305
670	2654	1301
671	2658	1297
672	2662	1293
673	2666	1289
674	2670	1285
675	2674	1281
676	2677	1277
677	2681	1273
678	2685	1269
679	2688	1265
680	2693	1261
681	2697	1257
682	2701	1253
683	2704	1249
684	2708	1245
685	2712	1241
686	2716	1237
687	2720	1233
688	2723	1229
689	2727	1225
690	2731	1221
691	2735	1217
692	2739	1213
693	2743	1209
694	2746	1205
695	2750	1201
696	2754	1197
697	2759	1193
698	2763	1190
699	2768	1186
700	2772	1182
701	2776	1178
702	2781	1175
703	2785	1171
704	2789	1167
705	2793	1163
706	2797	1159
707	2801	1155
708	2805	1151
709	2809	1147
710	2813	1143
711	2817	1139
712	2821	1135
713	2825	1131
714	2829	1127
715	2833	1123
716	2837	1119
717	2840	1115
718	2844	1111
719	2848	1107
720	2852	1103
721	2855	1099
722	2859	1095
723	2863	1091
724	2866	1087
725	2870	1083
726	2874	1079
727	2878	1075
728	2882	1071
729	2886	1067
730	2889	1063
731	2893	1059
732	2897	1055
733	2901	1051
734	2905	1047
735	2908	1043
736	2912	1039
737	2916	1035
738	2920	1031
739	2924	1027
740	2927	1023
741	2931	1019
742	2935	1015
743	2939	1011
744	2942	1007
745	2946	1003
746	2950	999
747	2954	995
748	2959	991
749	2963	987
750	2968	984
